"phrase_id","scenario_id","family_id","family_title","family_summary","audio_key","english_text","target_text","canonical_target_text","pronunciation","access_tier","variant_role","context","you_may_hear","search_aliases","warning_note_type","audio_status","emoji","notes","status"
"polite-1","polite-basics","polite-hello","Hello","Use a short greeting before you ask for anything else.","polite-1","Hello","Xin chào","Xin chào","sin chow","starter","say-first","Use this to open a shop, desk, ride, or casual exchange politely.","","hello|hi|greetings","","ready","👋","legacy starter kept as primary | relation-sample=viet-greeting-hello:anchor","approved"
"polite-2","polite-basics","polite-thank-you","Thank you","A short thank-you keeps service moments warm and simple.","polite-2","Thank you","Cảm ơn","Cảm ơn","kahm uhn","starter","say-first","Say this anytime someone helps you, serves you, or gives directions.","","thank you|thanks","","ready","🙏","legacy starter kept as primary","approved"
"polite-thank-you-polite","polite-basics","polite-thank-you","Thank you","A short thank-you keeps service moments warm and simple.","polite-thank-you-polite","Thank you very much","Cảm ơn nhiều","Cảm ơn nhiều","kahm uhn nyew","premium","more-polite","Use this when someone went out of their way for you.","","thank you very much|many thanks","","ready","🙏","premium polite variant","approved"
"polite-3","polite-basics","polite-acknowledge","Yes / okay","This helps you respond respectfully even before you know the full answer.","polite-3","Yes / polite acknowledgment","Dạ","Dạ","yah","starter","say-first","Use this as a soft respectful acknowledgment when someone speaks to you first.","","yes|polite yes|acknowledge","","ready","🙂","legacy starter kept as primary | relation-sample=viet-greeting-acknowledge:anchor","approved"
"polite-4","polite-basics","polite-no-thanks","No, thank you","Short refusal plus thanks is safer than just saying no.","polite-4","No, thank you","Không, cảm ơn","Không, cảm ơn","khong kahm uhn","starter","say-first","Use this to decline offers from vendors or service staff politely.","","no thanks|no thank you","","ready","🙅","legacy starter kept as primary","approved"
"polite-5","polite-basics","polite-excuse-me","Excuse me / sorry","This is the safe all-purpose phrase for passing by, starting a question, or apologizing lightly.","polite-5","Excuse me / sorry","Xin lỗi","Xin lỗi","sin loy","starter","say-first","Use this to get attention, pass by someone, or apologize for a small mistake.","","excuse me|sorry","","ready","🙏","legacy starter kept as primary","approved"
"polite-6","polite-basics","polite-its-okay","It's okay","Use this to lower tension when someone apologizes.","polite-6","It’s okay","Không sao đâu","Không sao đâu","khong sao doh","starter","say-first","Say this when someone apologizes and you want to reassure them.","","it's okay|no problem","","ready","👌","legacy starter kept as primary","approved"
"polite-7","polite-basics","polite-goodbye","Goodbye","A quick goodbye finishes the moment politely without extra talk.","polite-7","Goodbye","Tạm biệt","Tạm biệt","tahm bee-et","starter","say-first","Use this when leaving a shop, café, or hotel desk.","","goodbye|bye","","ready","👋","legacy starter kept as primary","approved"
"problems-2","understanding-repair","repair-understand","I don't understand","Lead with this before you ask for a repeat or a simpler version.","problems-2","I don’t understand","Tôi không hiểu","Tôi không hiểu","toy khong hyew","starter","say-first","Use this when someone is speaking too quickly or using unfamiliar words.","","i don't understand|dont understand|not understand","","ready","🤔","legacy starter moved into repair lane | relation-sample=viet-repair-understand:anchor","approved"
"problems-3","understanding-repair","repair-slower","Speak slower","This is the default repair phrase when the problem is speed, not meaning.","problems-3","Can you speak a little slower?","Nói chậm chút được không?","Nói chậm chút được không?","noy chuhm choot dook khong","starter","say-first","Use this when you need the other person to slow down.","","speak slower|slow down","","ready","🐢","legacy starter moved into repair lane | relation-sample=viet-repair-slower:anchor","approved"
